wage,educ,exper,tenure,female,married
21.05,11,2,0,1,0
22,12,22,2,1,1
20.37,11,2,0,0,0
40.75,8,44,28,0,1
35.99,12,7,2,0,1
59.42,16,9,8,0,1
76.4,18,15,7,0,0
33.96,12,5,3,1,0
24.45,12,26,4,1,0
123.46,17,22,21,0,1
42.44,16,8,2,1,0
55.21,13,3,0,1,0
59.56,12,15,0,0,1
37.35,12,18,3,0,0
150.76,12,31,15,0,1
117.69,16,14,0,0,1
50.93,12,10,0,1,1
72.19,13,16,10,1,0
24.45,12,13,0,1,1
30.56,12,36,6,1,1
46.72,12,11,4,1,0
57.59,12,29,13,0,1
42.99,16,9,9,1,0
3.6,12,3,1,1,0
40.75,11,37,8,1,0
64.92,16,3,3,0,1
52.84,16,11,10,0,1
84.89,16,31,0,0,1
84.89,15,30,0,0,1
22.07,8,9,1,1,1
88.29,14,23,5,0,1
30.56,14,2,5,1,0
65.74,13,16,16,1,0
33.96,12,7,3,1,0
31.78,12,3,0,1,0
29,16,22,4,1,1
41.77,12,15,6,1,1
23.84,4,39,15,0,1
20.37,14,3,3,1,1
42.44,12,11,0,1,0
53.04,12,3,0,1,1
67.91,12,20,5,1,1
30.56,14,16,0,1,1
27.16,11,45,12,1,1
43.33,13,11,4,1,0
93.04,15,20,13,0,1
11.34,10,1,0,0,0
19.9,12,36,2,1,1
24.79,14,9,2,0,0
19.69,12,15,1,1,1
11.07,12,18,0,1,0
58.4,16,3,2,1,0
33.96,12,15,5,0,1
40.75,12,7,7,0,1
16.98,12,2,0,0,0
22.07,15,3,0,0,0
23.09,16,1,1,1,0
67.91,8,13,0,0,0
146.89,18,8,8,1,0
29.75,16,7,0,0,0
79.52,13,40,20,1,0
84.14,14,42,5,0,0
42.44,10,36,8,0,0
25.2,10,13,0,1,0
52.84,14,9,3,0,0
135.69,14,26,23,0,1
42.44,16,7,4,1,1
67.91,12,25,3,0,1
38.78,16,10,5,0,1
13.58,12,3,2,1,0
38.78,16,3,0,1,0
88.83,17,17,2,0,1
33.34,12,17,8,0,1
19.76,12,20,34,1,1
25.47,12,7,0,1,1
80.81,13,24,19,0,1
27.16,12,28,0,1,1
21.05,12,2,1,1,0
57.39,12,19,13,0,1
48.49,18,13,0,0,1
30.56,9,22,5,0,1
31.58,16,3,1,0,0
19.69,10,4,0,1,0
45.3,12,7,5,0,0
23.77,12,6,2,1,0
22.14,12,13,3,1,1
22.07,12,14,0,1,1
54.33,12,14,4,1,0
66.89,8,40,24,0,1
50.93,12,11,7,0,1
40.14,12,14,6,0,1
79.86,14,40,39,0,1
20.37,12,1,0,1,0
32.67,12,2,0,1,0
44.14,12,4,1,1,0
27.16,9,19,1,1,1
23.77,13,1,0,0,0
89.37,12,34,22,0,1
28.86,14,5,2,0,1
23.77,12,3,0,0,0
34.84,15,6,6,1,0
25.47,12,14,0,1,1
30.56,12,35,12,1,1
51.82,12,8,4,1,0
101.87,14,7,7,0,1
46.52,15,11,3,1,1
90.53,12,14,11,0,1
45.3,12,35,10,0,0
17.18,12,46,0,1,0
66.55,17,7,0,0,1
22.89,11,45,12,0,1
169.64,18,29,25,0,1
36.67,12,6,3,0,1
41.49,14,15,0,0,1
28.52,14,33,16,1,1
25.47,10,15,0,0,0
23.77,14,5,0,1,1
24.72,12,7,2,0,0
25.81,15,6,1,0,1
20.37,8,33,12,1,1
33.96,16,2,1,1,1
31.44,14,4,0,1,1
20.37,15,1,0,0,0
21.73,12,29,0,1,0
26.55,18,17,3,0,1
43.67,16,17,3,1,1
37.22,10,36,3,1,1
10.19,8,31,30,0,0
19.69,10,23,2,1,0
33.96,11,13,1,0,1
60.58,18,3,3,0,1
33.96,15,15,0,0,0
23.9,12,48,1,0,1
19.69,11,6,0,1,0
30.56,12,12,0,0,1
15.28,12,5,0,1,0
33.96,14,19,5,0,1
67.91,16,9,3,0,1
25.47,2,39,13,0,1
67.91,14,28,11,1,1
74.36,16,23,20,0,1
53.65,12,2,0,0,0
32.05,12,15,1,1,0
39.66,13,5,0,1,1
26.01,12,18,2,1,0
21.73,15,2,2,1,0
13.58,10,3,0,1,0
30.56,12,31,4,1,1
78.44,16,20,5,1,1
14.53,13,34,15,1,1
16.16,9,5,0,0,0
25.47,12,11,0,0,0
37.49,13,31,3,0,0
44.14,12,8,5,1,1
21.05,12,2,2,1,0
67.91,14,18,5,0,1
45.03,16,3,0,0,1
67.91,16,3,2,0,1
15.69,9,4,1,1,0
46.72,18,4,4,0,0
19.22,10,1,0,0,0
21.26,10,1,0,1,0
54.33,13,28,5,0,1
30.56,12,47,4,1,1
58.74,18,13,1,1,0
13.58,13,2,6,1,0
32.26,12,48,2,1,1
42.44,13,6,5,1,1
40.75,13,8,0,0,1
104.45,13,25,21,0,1
99.02,18,13,7,1,0
84.89,12,8,1,0,0
35.65,12,19,10,1,1
14.74,13,1,4,1,0
48.49,12,43,5,1,0
42.24,12,19,9,1,1
61.12,12,11,5,1,1
67.91,14,43,4,0,1
39.19,10,44,3,0,1
27.16,12,22,11,1,1
59.42,16,3,2,0,1
44.35,16,3,2,1,0
51.61,12,41,11,1,0
33.96,14,5,0,0,0
33.96,12,14,11,1,0
148.46,12,24,16,0,1
58.68,12,28,8,0,1
22.41,12,25,8,0,1
30.15,12,3,0,0,0
30.9,12,11,0,0,1
23.77,12,7,6,1,1
42.44,16,9,2,0,1
26.15,16,5,0,0,1
41.97,14,9,3,1,1
19.76,11,1,0,1,0
42.44,16,2,1,1,0
42.44,12,13,0,1,1
61.46,12,10,2,0,1
67.91,17,5,3,0,1
75.45,12,30,8,0,1
46.72,12,31,19,0,1
59.42,16,1,2,0,0
67.91,8,9,0,0,1
20.71,12,10,0,1,1
20.37,12,38,0,1,1
39.39,12,19,6,1,1
27.84,16,5,0,1,1
54.33,12,26,2,0,1
41.77,12,35,12,1,0
18.34,9,2,0,1,0
18.68,13,1,2,1,0
20.37,16,19,10,1,1
20.37,14,3,2,1,0
49.98,8,36,24,0,1
50.93,14,29,24,0,1
23.77,13,1,2,0,0
55.01,12,38,3,1,1
25.47,18,1,2,0,0
22.07,9,29,0,0,1
39.59,8,36,15,1,1
23.77,8,4,0,0,0
22.61,12,45,4,1,1
27.16,14,22,3,1,0
23.77,12,20,4,1,1
42.44,16,5,0,0,1
20.03,8,15,2,1,1
38.78,13,10,2,1,1
20.37,9,3,0,1,0
155.25,16,16,7,0,1
61.12,12,38,1,0,1
56.57,15,33,26,0,1
20.37,11,2,0,0,0
39.05,14,6,5,0,1
45.91,12,19,3,0,1
67.91,12,29,0,0,1
20.37,12,2,0,0,0
23.77,18,3,1,1,0
22.07,12,4,0,0,0
27.16,12,10,1,1,0
19.83,12,4,0,1,0
20.78,12,14,10,1,0
21.73,12,15,5,1,1
32.26,12,19,0,0,1
20.37,14,17,0,1,1
123.33,16,29,7,0,1
23.77,12,2,0,1,0
27.91,14,5,0,0,0
13.31,11,38,3,1,0
29.13,12,3,0,1,0
20.37,10,47,0,0,0
43.8,12,7,6,0,1
35.31,6,47,13,0,1
30.56,13,23,2,1,0
26.35,12,12,3,0,1
23.43,10,11,0,1,0
74.09,12,25,23,0,0
27.84,14,6,0,1,1
20.37,13,3,1,0,0
40.07,12,14,7,0,1
122.24,18,13,0,1,0
27.16,12,9,0,0,0
20.37,12,1,0,0,0
24.11,12,6,0,1,1
20.37,12,11,1,1,1
59.42,12,47,44,0,1
19.69,8,49,6,1,0
42.51,13,37,17,1,1
23.77,13,2,0,1,0
31.24,14,7,0,1,1
40.75,12,22,8,0,0
19.63,10,8,0,1,0
37.89,16,1,1,0,1
27.16,12,43,6,1,1
40.75,16,2,2,0,0
30.56,12,2,1,1,0
19.83,14,1,3,0,0
29.41,18,1,0,0,0
128.29,17,26,20,0,1
29.07,13,1,1,1,0
31.04,14,37,7,1,1
42.44,15,12,4,1,1
20.03,14,41,23,0,1
59.42,12,24,1,0,0
57.72,8,38,26,0,0
25.47,12,18,0,1,1
21.39,12,26,1,0,1
33.96,8,45,2,0,0
43.87,12,27,0,0,1
13.58,9,2,0,0,0
32.53,12,41,8,0,1
39.25,16,11,4,0,1
21.6,12,5,0,1,1
31.78,16,3,1,1,0
27.84,12,3,2,1,0
19.76,12,4,0,0,1
40.75,13,21,13,0,1
24.45,10,34,26,1,1
26.83,6,49,6,0,1
47.54,12,6,5,0,1
20.37,12,26,9,1,1
41.29,16,9,0,0,0
58.61,12,23,9,0,1
20.37,8,33,2,0,1
25.47,12,5,2,1,1
19.69,6,49,7,0,1
20.37,4,48,0,0,1
42.44,11,35,31,0,1
23.77,11,23,2,1,0
20.37,7,26,1,1,0
22,12,16,0,1,1
54.47,18,23,3,1,1
22.61,12,36,8,1,1
35.65,16,4,0,0,0
42.44,12,10,0,0,1
23.77,14,18,2,0,1
20.03,12,3,1,0,0
20.37,10,7,0,1,1
31.85,10,7,7,0,0
25.33,9,33,2,1,0
27.16,10,34,12,0,1
27.16,12,8,0,1,1
19.69,12,17,1,1,1
20.71,12,2,0,1,0
34.3,10,5,0,1,0
94.74,16,41,16,0,1
123.33,16,35,28,0,1
42.44,16,11,4,0,0
35.65,12,4,0,0,0
32.53,12,12,3,1,1
22.75,7,35,0,1,0
20.37,8,33,0,0,1
57.25,16,8,6,0,1
38.71,16,2,0,0,0
81.36,18,8,10,0,1
23.77,13,29,1,1,1
28.79,10,14,5,0,1
47.54,16,26,3,1,1
40.75,14,11,3,1,1
82.99,16,10,2,0,0
30.56,12,13,0,0,1
20.37,9,23,20,1,1
19.69,11,1,2,0,0
101.87,11,35,31,0,1
27.16,12,5,2,0,1
35.65,11,13,11,0,1
27.16,12,22,3,0,1
22.41,12,21,9,1,1
34.3,12,19,0,1,1
24.31,12,13,0,0,0
33.96,14,15,5,0,1
31.04,14,3,0,0,1
84.89,18,6,2,0,0
23.43,12,6,5,1,1
31.44,12,16,1,1,0
67.91,12,31,2,0,1
19.83,11,1,0,1,0
30.63,12,5,2,0,0
44.14,17,3,0,0,1
50.93,16,11,0,0,1
24.04,13,6,7,1,1
28.52,13,11,3,1,1
23.84,12,7,2,1,1
30.56,14,5,0,0,1
22.75,14,5,4,1,1
19.76,11,2,2,0,0
35.65,10,44,7,0,1
27.5,8,44,25,0,1
25.47,14,13,0,1,1
23.09,12,26,15,1,1
20.37,10,2,1,1,0
42.72,17,10,3,0,1
17.25,9,2,0,1,0
30.56,12,35,0,1,1
21.26,12,6,5,1,1
43.19,14,8,1,0,1
31.78,16,1,0,0,0
46.18,12,14,10,0,1
57.93,10,14,6,0,1
28.32,0,22,10,1,0
25.47,14,8,4,1,1
75.38,15,1,4,1,0
22.14,16,15,5,1,1
62,12,14,12,0,1
30.56,11,37,10,0,1
20.37,11,1,1,1,0
59.42,12,4,4,0,1
28.12,13,29,0,1,1
19.49,12,45,8,1,1
22.75,13,22,0,1,0
41.29,16,42,10,0,0
20.37,15,9,0,0,0
28.52,16,8,0,1,1
38.03,15,31,15,1,0
67.91,12,24,24,0,1
84.89,18,16,5,0,1
25.53,6,6,0,0,0
21.05,6,14,0,1,0
29.13,12,47,25,1,1
74.16,12,34,5,0,1
50.93,16,6,2,1,1
27.5,9,7,4,1,1
31.58,12,27,2,0,1
33.96,11,24,5,0,1
19.69,10,18,0,1,1
54.33,12,12,3,1,0
57.25,8,27,3,0,1
19.83,9,49,0,1,0
42.44,17,4,0,1,0
42.44,16,24,2,1,1
34.7,11,3,0,0,0
27.16,10,2,0,1,0
30.15,8,29,11,0,1
46.72,13,34,21,0,1
36.88,14,10,3,0,1
20.37,13,5,0,1,0
19.69,11,2,0,1,0
42.44,7,39,21,0,1
29.47,16,5,2,1,0
22.07,12,14,2,1,1
49.3,13,8,2,0,0
43.12,14,10,1,1,1
38.23,16,2,2,0,1
59.42,14,9,3,0,1
21.73,11,1,0,0,0
20.37,8,45,1,1,1
20.37,14,33,3,1,1
84.89,17,21,18,0,1
19.56,10,2,0,1,0
22.75,12,9,1,0,1
44.14,12,33,2,0,1
70.49,18,16,2,0,1
30.56,14,10,0,0,1
67.91,18,9,8,0,0
25.87,12,8,1,1,1
59.76,16,9,1,0,1
63.97,14,23,0,1,1
42.99,12,23,8,0,1
27.16,9,22,18,0,0
19.69,12,37,0,1,1
135.82,12,22,4,0,1
76.4,17,28,25,0,1
23.77,12,14,0,1,0
40.75,15,19,4,1,1
97.66,17,10,9,0,1
43.19,16,25,0,0,1
24.11,12,21,0,1,1
20.37,15,32,0,0,1
30.56,16,21,10,0,1
45.03,12,36,0,1,0
63.16,15,2,2,0,1
20.37,12,11,0,1,1
22.07,12,40,2,1,0
10.19,12,11,1,1,1
40.07,12,9,7,1,1
54.33,16,23,4,0,0
19.69,11,1,0,1,0
22.34,14,30,13,0,0
44.14,14,41,33,0,1
27.16,13,6,0,1,0
40.75,14,11,0,0,1
27.71,12,43,17,1,1
25.47,12,39,2,1,1
20.71,8,50,24,1,0
23.77,12,26,20,1,1
19.83,3,51,30,0,0
30.56,11,3,9,0,0
22.75,15,3,1,1,1
40.41,11,15,9,0,1
54.33,12,17,6,0,1
20.37,4,36,0,0,1
33.96,9,31,9,0,1
37.35,12,9,4,0,1
18,12,42,10,1,1
20.37,11,3,0,1,0
30.56,12,37,14,1,1
118.85,16,23,22,0,1
55.55,13,21,5,0,0
61.73,15,11,12,0,1
80.27,16,35,13,0,1
22.07,12,42,0,1,1
30.56,12,3,0,0,0
30.56,12,13,0,0,1
25.2,9,14,7,0,1
44.14,10,14,11,0,1
19.69,12,39,1,1,1
38.03,11,11,8,0,1
15.14,8,28,3,0,1
33.96,6,18,0,1,1
56.57,16,6,2,0,1
19.69,12,26,1,1,0
42.44,12,21,6,0,1
30.9,16,34,2,0,1
22.28,12,17,2,1,0
15.62,10,2,0,1,0
22.41,13,5,0,1,0
21.39,13,1,0,1,0
84.89,14,40,30,0,1
34.97,16,39,21,1,0
21.26,10,1,1,0,0
49.24,12,14,5,0,1
19.69,12,2,2,1,0
11.88,11,2,1,0,0
19.63,0,42,0,1,1
19.69,5,34,0,1,1
120.27,16,10,3,0,1
42.44,16,4,3,0,1
17.66,9,4,0,0,0
45.03,15,21,3,1,1
23.77,12,31,3,1,0
44.14,12,20,14,0,1
20.37,12,36,1,1,0
29.75,13,7,0,0,1
67.91,12,15,0,0,0
33.62,7,25,17,0,1
61.12,17,7,0,1,1
9.71,12,17,0,1,1
20.92,12,3,1,0,0
63.36,14,12,11,0,1
50.93,12,18,5,0,1
32.26,13,47,1,0,1
38.37,12,2,0,0,0
101.87,16,14,2,1,1
15.42,10,2,0,1,0
31.71,15,13,18,0,1
78.51,16,5,1,0,1
23.77,14,5,4,1,0
